elapsed_time(s), tput(ops/s), num_active_workers
28.047028, 13135.648134, 2
28.110932, 15680.274437, 0
28.184293, 13654.086952, 0
28.275384, 10986.964878, 2
28.359847, 11849.970744, 2
28.463381, 9665.612902, 0
28.632630, 5912.271784, 2
28.686728, 18523.020298, 2
28.791262, 9573.414398, 0
28.885882, 10581.160730, 2
28.943238, 17498.600899, 1
28.993621, 19885.314630, 1
29.056754, 15865.030726, 2
29.147757, 10999.578804, 1
29.243052, 10505.316105, 2
29.318727, 13227.827476, 2
29.384305, 15267.963213, 2
29.442876, 17095.211713, 2
29.523409, 14651.492780, 1
29.613893, 11066.598547, 0
29.692264, 12774.001045, 2
29.792157, 10099.648587, 1
29.895279, 9704.484944, 0
29.954193, 16999.823831, 2
30.051448, 10291.357808, 2
